C582,12345,0,deposit,0,2025-05-28 22:57:01
C582,69696,0,deposit,0,2025-05-28 22:57:22
C582,12345,7000.0,Deposit,7000.0,2025-05-28 22:57:51
C582,12345,11000.0,Deposit,4000.0,2025-05-28 22:57:55
C582,12345,14000.0,Deposit,3000.0,2025-05-28 22:58:00
C582,12345,19000.0,Deposit,5000.0,2025-05-28 22:58:04
C582,12345,27000.0,Deposit,8000.0,2025-05-28 22:58:08
C582,12345,33000.0,Deposit,6000.0,2025-05-28 22:58:12
C582,69696,6000.0,Deposit,6000.0,2025-05-28 23:02:13
C582,69696,10000.0,Deposit,4000.0,2025-05-28 23:02:23
C582,69696,12000.0,Deposit,2000.0,2025-05-28 23:02:29
C582,69696,21000.0,Deposit,9000.0,2025-05-28 23:02:32
C582,69696,17000.0,Withdraw,4000.0,2025-05-28 23:02:38
C582,69696,16000.0,Withdraw,1000.0,2025-05-28 23:02:42
C582,69696,11000.0,Withdraw,5000.0,2025-05-28 23:02:45
C582,12345,28000.0,Withdraw,5000.0,2025-05-28 23:02:55
C582,12345,24000.0,Withdraw,4000.0,2025-05-28 23:02:57
C582,12345,18000.0,Withdraw,6000.0,2025-05-28 23:03:00
C582,12345,11000.0,Withdraw,7000.0,2025-05-28 23:03:05
C522,98765,0,deposit,0,2025-05-28 23:14:37
C522,12369,0,deposit,0,2025-05-28 23:14:45
C522,12369,400.0,Deposit,400.0,2025-05-28 23:16:26
C522,12369,300.0,Withdraw,100.0,2025-05-28 23:16:34
C522,12369,250.0,Withdraw,50.0,2025-05-28 23:16:38
C582,1234455,0,deposit,0,2025-06-14 15:50:28
C582,1234455,7000.0,Deposit,7000.0,2025-06-14 15:51:17
C582,1234455,3000.0,Withdraw,4000.0,2025-06-14 15:51:27
C582,1234455,0.0,Withdraw,3000.0,2025-06-14 15:51:30
